QT_WHO_WROTE  Quem foi o argumentista de  To Kill A Mockingbird ?
QT_WHO_WROTE  Quem escreveu Butch Cassidy and the Sundance Kid?
QT_WHO_WROTE  Quem é o argumentista do filme  Rocky ?
QT_WHO_WON  Quem ganhou o óscar de melhor realizador em 2005?
QT_WHO_WON  Quem ganhou o Óscar de melhor actor em 2005?
QT_WHO_WON  Quem ganhou em 2005 o óscar de melhor actriz?
QT_WHO_WON  Quem foi o vencedor do óscar de melhor actor secundário em 1999?
QT_WHO_WON  Quem foi o vencedor do óscar  de melhor actor secundário em 1999?
QT_WHO_WON  Quem é que ganhou em 2005 o óscar de melhor actriz?
QT_WHO_WON  Quem é a pessoa que em 1989 venceu o óscar de melhor actor secundário?
QT_WHO_WON  Qual o nome do vencedor para o óscar de melhor actriz em 1989?
QT_WHO_WON  o óscar de melhor actriz foi ganho por quem em 2005?
QT_WHO_WON  o óscar de melhor actriz em 1989 foi ganho por quem?
QT_WHO_WON  o óscar de melhor actriz em 2005 foi entregue a que actriz?
QT_WHO_WON  no ano de 1989 quem recebeu o óscar de melhor actriz?
QT_WHO_WON  no ano de 1999 o óscar de melhor actriz foi entregue a que actor?
QT_WHO_WON  em 2005 quem foi o vencedor do óscar de melhor actriz?
QT_WHO_WON  Como se chama o vencedor para o óscar de melhor actriz em 1999?
QT_WHO_PRODUCED  Quem produziu The Lord of the Rings: The Fellowship of the Ring?
QT_WHO_NOMINATED  Quem foram os nomeados para o óscar de melhor actor secundário em 1989?
QT_WHO_NOMINATED  Quem foram os nomeados para o óscar de melhor actor em 1989?
QT_WHO_NOMINATED  Qual o nome dos nomeados para o óscar de melhor actriz em 2005?
QT_WHO_NOMINATED  Qual o nome dos nomeados em 2005 para o óscar de melhor actriz?
QT_WHO_NOMINATED  Quais os nomeados para o óscar de melhor actriz em 1999?
QT_WHO_NOMINATED  em 1999 quais foram os nomeados para o óscar de melhor actriz?
QT_WHO_NOMINATED  Como se chamam os nomeados para o óscar de melhor actriz em 2005?
QT_WHO_MAIN_ACT  Quem protagonizou o filme Die Hard ?
QT_WHO_MAIN_ACT  Quem protagoniza no The Sting?
QT_WHO_MAIN_ACT  Quem protagoniza em The Sixth Sense?
QT_WHO_MAIN_ACT  Quem foi o actor que protagonizou o filme Goodfellas?
QT_WHO_MAIN_ACT  Quem foi o actor principal em Raiders of the Lost Ark?
QT_WHO_MAIN_ACT  Quem foi o actor principal de Raiders of the Lost Ark ?
QT_WHO_MAIN_ACT  Quem é a pessoa que é protagonista de Rain Man?
QT_WHO_MAIN_ACT  Que actor protagonizou o Memento?
QT_WHO_MAIN_ACT  Que actor protagonizou o filme 2001: A Space Odyssey?
QT_WHO_MAIN_ACT  Qual o nome do actor principal no filme  The Pianist ?
QT_WHO_MAIN_ACT  Qual o actor principal que participou no filme Psycho?
QT_WHO_MAIN_ACT  Qual foi o protagonista de It's A Wonderful Life?
QT_WHO_MAIN_ACT  Qual a actriz principal do filme de terror  12 Angry Men ?
QT_WHO_MAIN_ACT  Qual a actriz principal do filme  The Graduate?
QT_WHO_MAIN_ACT  Qual é que foi o protagonista no Forrest Gump?
QT_WHO_MAIN_ACT  Qual é que foi o protagonista do filme The Lord of the Rings: The Two Towers?
QT_WHO_MAIN_ACT  Qual é que é o actor que protagonizou o filme Schindler's List?
QT_WHO_MAIN_ACT  Qual é o protagonista do filme Pirates of the Caribbean: The Curse of the Black Pearl?
QT_WHO_MAIN_ACT  Qual é o actor que protagonizou o filme Alfred Hitchcock's Rear Window?
QT_WHO_MAIN_ACT  Quais as actrizes principais da colecção Annie Hall ?
QT_WHO_MAIN_ACT  Protagonista do The Lord of the Rings: The Two Towers?
QT_WHO_MAIN_ACT  Protagonista do Jaws?
QT_WHO_MAIN_ACT  no The Wizard of Oz, qual foi o protagonista?
QT_WHO_MAIN_ACT  no Apocalypse Now qual foi o actor?
QT_WHO_MAIN_ACT  De quem foi o papel principal no filme Vertigo?
QT_WHO_MAIN_ACT  Como se chama o protagonista de The Shawshank Redemption?
QT_WHO_MAIN_ACT  Como se chama o actor que protagonizou Memento?
QT_WHO_MAIN_ACT  Como se chama a pessoa que participou como actriz no filme Grease?
QT_WHO_MAIN_ACT  Como se chama a pessoa que foi protagonista de The Godfather?
QT_WHO_MAIN_ACT  Como se chama a pessoa que é protagonista de Cool Hand Luke?
QT_WHO_IS  Quem é que é o Jodie Foster?
QT_WHO_IS  Quem é o Michael Caine?
